;set;graham;jarvis;center;radius;num_of_points
0;B;0.0018058499999824562;0.016851764999955776;(0, 0);100;100
1;B;0.007474263999938557;0.35560785100005887;(0, 0);500;500
2;B;0.01692545199966844;1.3557585250000557;(0, 0);1000;1000
3;B;0.11445694600024581;24.045912773000055;(0, 0);5000;5000
4;B;0.19263338100063265;94.50684452200039;(0, 0);10000;10000
