;set;graham;jarvis;num_of_points;left;right
0;A;0.0010625630002323305;0.0012040379997415585;100;-100;100
1;A;0.0053845339998588315;0.0057300970001961105;500;-500;500
2;A;0.011989975000687991;0.013382576000367408;1000;-1000;1000
3;A;0.06741213300028903;0.06986046699967119;5000;-5000;5000
4;A;0.23388818000057654;0.47148855200066464;10000;-10000;10000
